"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-182.664003754375,-182.32845,2.54587759276629,2.42238307499998,-187.407231,-179.1693305,1.00044775857412,3473.55655905571,6583.109456443
"beta1",0.408911466163351,0.40710161,0.714260044539614,0.6582460274838,-0.7614093175,1.58562847,1.00009988829404,10299.184492975,8348.36616661126
"beta2",-0.286197592708597,-0.286165575,0.565981556203319,0.5206355069601,-1.20552285,0.633266399,1.00012382630991,10358.8327985024,8412.67544644349
"beta3",-3.18952144742312,-3.1032514,0.970078258868555,0.96118381296,-4.91274856,-1.75461363,1.000426429886,3464.89868099629,5025.6446773079
"beta4",-1.15311012190462,-1.092843,0.506932849639433,0.48031428963,-2.079810455,-0.4476764225,1.00036684287223,5625.15150149382,7183.54626921164
"beta34",-0.344863400682076,-0.32559829,0.433386495172504,0.3916307803905,-1.080884835,0.3361928115,1.0002536074286,10612.4226788058,7266.94167449903
"k0",1.14972794508875,1.11087615,0.484835857745114,0.476134491819,0.426157925,2.000800895,1.00016855062779,7391.38522548018,10110.3198832216
"delta",5.38784082966875,5.19033015,1.74066410170697,1.65919849053,2.91792033,8.550666485,1.00052628710566,3224.84309191234,4008.87724021033
"sigma",4.43808020560625,4.28603175,1.36904150227107,1.32739928223,2.461787485,6.90566045,1.00050254970465,3098.77246721724,3758.3019494414
"beta0",0,0,0,0,0,0,NA,NA,NA
"mu[1]",1.41733150869534,1.35690825,0.518390409108251,0.49560456582,0.6927481765,2.35786894,1.00053012447577,4290.96353225706,6950.47538784904
"mu[2]",-4.59091560645,-4.4136434,1.51063024768566,1.45354711866,-7.3095196,-2.431063875,1.00044518857702,3617.58732214992,5186.84550132938
"mu[3]",2.25269324831187,2.16918675,0.785982745984361,0.76830029577,1.111598045,3.658328595,1.00031876971417,4443.84551418553,7314.34097064949
"mu[4]",3.44801956933348,3.31546525,1.39753078296053,1.3456188795,1.42398411,5.92188612,1.00024534368299,6547.18976486364,9123.0919024706
"mu[5]",-4.4278564771825,-4.24866495,1.50525619707062,1.44721975251,-7.159258685,-2.30172381,1.00045371032388,3876.28920381354,5130.9758903037
"mu[6]",3.64142595816169,3.46936975,1.4586592683225,1.39094559387,1.557421805,6.292525265,1.00021262888485,5530.5470409004,8272.58495422358
"mu[7]",3.22506501140181,3.11490165,1.11891105336702,1.08487764987,1.59144457,5.24793475,1.00033263837722,4728.12145432859,6792.36229296605
"mu[8]",1.87826788940006,1.78299505,1.01940873957826,0.95423264286,0.3799667995,3.695691795,1.00026529956812,7195.11009819024,7829.00967170589
"mu[9]",-2.79123069549008,-2.53621165,1.78222842662474,1.65044573904,-6.102541605,-0.359326254500001,1.00018880618276,7684.81039650975,7309.11613370137
"mu[10]",0.688787579796819,0.611571935,0.896280716172563,0.8118915660534,-0.6399590255,2.262951695,1.00031529914212,15158.5019347326,10284.4099495587
"mu[11]",-3.71642393298788,-3.5010192,1.6176705075596,1.51130713902,-6.69864137,-1.480959465,1.00042147872511,5333.40676471887,6903.56119560808
"mu[12]",-1.01231686242706,-0.975176115,0.520250097679574,0.501439983051,-1.928916945,-0.241245050000001,1.00008727004073,6953.81919907007,8300.76241096656
"mu[13]",0.691908033683436,0.65393445,0.456800111095949,0.421872243618,0.0189839081,1.492510645,0.999991368267,8401.78201630537,8126.01423560561
"mu[14]",3.62560086364438,3.489988,1.26364603781746,1.21360016946,1.806590875,5.94241344,1.00038859185741,4538.52547327199,6408.79362331475
"mu[15]",-6.63954083715,-6.3881439,2.23960332012844,2.16242213775,-10.65995515,-3.465694625,1.00036701457828,3768.37191109337,5632.44084092905
"mu[16]",1.43511601939038,1.3261906,0.791495677264006,0.72481993731,0.3530080215,2.898968375,1.00034255842343,6962.18611148854,6796.65696501244
"mu[17]",0.364631270531381,0.3532753,0.537809029070862,0.484964716572,-0.496236762,1.26473153,1.00001408372777,11174.6193355347,9045.80304076465
"mu[18]",6.11434704390563,5.8582386,2.12994586152175,2.03408175831,3.11180035,9.956338775,1.00032581705945,4373.59669363157,6560.34167132488
"mu[19]",4.13647030294125,3.97408495,1.46116372057098,1.41526950012,2.03257407,6.75500264,1.00045940223673,4761.10983722836,7225.99667848074
"mu[20]",0.163228359648633,0.136350635,0.396593693710533,0.356764405767,-0.4418386245,0.845798118999998,1.00036302447998,14329.9615286075,9861.57194751095
"mu[21]",-6.90971533271625,-6.5581685,2.61431519572275,2.49763977687,-11.6674333,-3.269045685,1.00030520199267,4185.02430909566,6356.58328230809
"mu[22]",3.4962458882075,3.3843168,1.09747659608606,1.07502384549,1.913109245,5.47821688,1.00047031710084,3448.89366795168,4605.31665480402
"mu[23]",-1.82835893540717,-1.70091435,1.00284695809047,0.95397266895,-3.648361005,-0.4206801765,1.0003386358709,5740.45867957877,6360.59181428643
"mu[24]",0.797018386403393,0.760455395,0.639214239844763,0.588657189771,-0.1862004455,1.892960885,0.999883447421204,9079.06946319411,8238.06714234591
"mu[25]",2.42497847529406,2.33014725,0.979869557951768,0.93879870273,0.9981552075,4.17730003,1.00033359941134,6335.58582087339,9365.09446918947
"mu[26]",-5.75592655145,-5.5146471,1.95406916310075,1.87362700266,-9.273542315,-2.974876985,1.00044587937433,3788.760006486,5365.34470242425
"mu[27]",-0.58864975406858,-0.50386919,1.07590000567782,0.984832721082,-2.47096988,1.00675523,0.999975631787369,10603.3153363321,9060.2031670848
"mu[28]",4.68246981723125,4.5080593,1.54292979069447,1.51451926605,2.470081195,7.486549155,1.00027040232247,3752.32802004928,5723.3949318759
"mu[29]",4.4548576767425,4.27332445,1.52057825323039,1.47215612082,2.31418779,7.232231585,1.00039784338269,3877.41680945789,5866.89615587334
"mu[30]",5.55519014707188,5.4058025,1.68250805943751,1.67455711458,3.06649775,8.540841065,1.00049505258159,3444.67584237914,4926.99136969449
"mu[31]",-6.1257567205975,-5.83561305,2.25346394042827,2.15499186546,-10.21984765,-2.969543095,1.00041537443402,4237.73667334505,6268.12180620905
"mu[32]",0.667026167095186,0.64210752,0.785234112513514,0.731161061988,-0.565807321,1.99579736,1.00002179723206,10378.3140273773,9804.50392201137
"mu[33]",-0.123616274445204,-0.117247495,0.0935563803681463,0.0883882561212,-0.2854324465,0.0178523150499999,1.00030578774669,10939.3708679456,9550.5197356939
"mu[34]",0.873748582341864,0.804732295,0.893013662230104,0.805765716378,-0.456804956,2.44417128,1.00021100530468,10390.9414289255,7454.98210468921
"mu[35]",7.35305031324375,7.1158744,2.31964512654925,2.25290958942,4.011477225,11.5356404,1.00046053971164,3753.68564245353,5217.27492777179
"mu[36]",1.2431006202436,1.17459765,0.900380277950553,0.830137799715,-0.09667885245,2.80791527,0.999959902967888,8669.94468565858,7563.99752937625
"mu[37]",0.732153331256306,0.69631927,0.392394705708367,0.377792736846,0.1562557695,1.42531065,1.00020802231479,8602.63292068328,9542.04925002828
"mu[38]",-3.33553147364688,-3.2392335,1.01935638845346,1.00305999822,-5.158902905,-1.834211625,1.00045293783808,3452.50124762177,4747.34820241366
"mu[39]",-1.80945253178482,-1.6003367,1.90558928993821,1.735904915745,-5.2457344,0.874682808,1.00014816690792,10248.2243187541,7669.72994410681
"mu[40]",-2.97800643659938,-2.8792439,0.945706336155557,0.92375965311,-4.686700635,-1.606727775,1.00047425690059,3575.86075558657,4721.54850279006
"mu[41]",-5.50571370771125,-5.23812075,2.02796402485168,1.94272683738,-9.20133776,-2.667378405,1.00041944460136,4236.25052186792,6319.93491803189
"mu[42]",-6.91709179064375,-6.66704945,2.3134222432896,2.24122299492,-11.06722085,-3.62116102,1.0003500167755,3733.71898617143,5694.65865353929
"mu[43]",6.83769987370625,6.63929895,2.15071946394491,2.15071745553,3.695105395,10.6928972,1.00038418722999,3671.33607197489,5600.84268432325
"mu[44]",-6.5352562689625,-6.18719085,2.44080821301123,2.32551903486,-10.95498215,-3.14091925,1.00026235774627,4107.12597043281,6533.46801486816
"mu[45]",1.87592062800937,1.79154565,0.678765194325676,0.64649669973,0.932093205,3.130986595,1.0004285081983,4143.10570861303,6084.84214627606
"mu[46]",-3.5276932974625,-3.4193264,1.09068508968164,1.07100021735,-5.478148485,-1.92746234,1.00047105264462,3471.74775651773,4591.66123916143
"mu[47]",-0.594636226653243,-0.55754865,0.601310383350237,0.55888148904,-1.626298045,0.3247578735,1.00021711798309,12310.5897473493,9622.56603761135
"mu[48]",-0.256053019019276,-0.26227988,0.898176390822369,0.812499433536,-1.71571216,1.20831119,1.00026659848738,13952.038453703,10681.1793845053
"mu[49]",2.21601407361563,2.11900445,0.776963999355857,0.73915875495,1.136538585,3.65033029,1.00037926116624,3905.32971499463,5884.18971139303
"mu[50]",-1.38031256326361,-1.2964282,0.774612906183017,0.73160127558,-2.774887255,-0.2771255285,1.00028597830625,8727.75897296623,9533.9732306599
"mu[51]",-6.18350469915625,-5.93525305,2.06230162404248,1.98279187848,-9.90087803,-3.24011569,1.00044586163011,3701.90309743689,5207.80156480047
"mu[52]",-0.141014935297804,-0.113165605,0.550990605305108,0.491058276702,-1.08827318,0.719951275499999,0.999975994399945,12833.7146080958,9996.96283247614
"mu[53]",-5.53523518213813,-5.2680381,2.07551742855088,1.9779448143,-9.32126309,-2.63886635,1.00042174015574,4342.55119951959,6287.99790663577
"mu[54]",4.5953377825,4.46341925,1.4505306346431,1.45308973656,2.48054976,7.180257805,1.00057621363083,3686.45356437062,5878.46852203784
"mu[55]",2.81854268540375,2.7167946,0.920643789041331,0.89513894967,1.516945505,4.488009225,1.00038234301324,3563.01133521833,5267.82916626177
"mu[56]",-4.94644457900625,-4.79287255,1.53395775259806,1.49783141697,-7.667656215,-2.728592925,1.00041403162677,3366.90422554323,4620.6083944387
"mu[57]",3.77364146860813,3.638392,1.25953315700303,1.22535318444,1.953021165,6.04311499,1.00047041333333,4312.95268262008,5973.57042154871
"mu[58]",-0.220572017769464,-0.19116286,0.605468200651363,0.542303115144,-1.247851205,0.72328835,1.00033488674865,13870.0251107556,9004.8364952374
"mu[59]",-0.301599867666837,-0.30195007,0.735171397836636,0.676908739794,-1.50830279,0.894527129,1.00023956287984,11783.3152165775,8316.93192269206
"mu[60]",-1.56570176179639,-1.4262035,1.29127308988577,1.193868283125,-3.902941985,0.2648323845,1.00006120113815,8830.15588696588,8755.36784089149
"mu[61]",0.654846247886374,0.64034946,0.862078829012163,0.789596258388,-0.717743765,2.06799356,1.00019751745157,14001.917505636,10658.5910357723
"mu[62]",-3.73414909122712,-3.5353796,1.51739699643607,1.42360022952,-6.526425335,-1.627270215,1.00042764595671,4843.85774557471,6612.23650788235
"mu[63]",0.737109963816773,0.71979988,0.73525053254806,0.684593092659,-0.441906804,1.964498105,1.00000518086512,11611.5538158734,10150.6097188294
"mu[64]",0.83052747787353,0.75824416,0.759556767904245,0.701316042294,-0.274673526,2.171976295,1.00023374931542,15533.435566907,9989.92403618784
"mu[65]",-3.18744099015625,-3.08260115,1.17291693907285,1.17048860775,-5.260122105,-1.47219047,1.00017525914406,4772.49178929395,8033.52202668121
"mu[66]",3.89846357209563,3.77543095,1.25826376553288,1.23112146213,2.0739799,6.17467344,1.00033902677513,4271.47279277206,5924.48101661779
"mu[67]",-1.89811623447684,-1.78064025,1.04766617865191,1.00876793409,-3.824813985,-0.419246362,1.00002590633007,6041.52025591157,7351.57571721611
"mu[68]",-6.34429541088125,-6.130102,2.10916158473912,2.06319238692,-10.14703055,-3.326749145,1.00035886872632,3710.78405012762,5725.19174290586
"mu[69]",6.38422624961875,6.20264865,1.95044693829546,1.90980281331,3.531797575,9.89958688,1.00044137102554,3709.54423789394,5194.07837219446
"mu[70]",-1.43218981097147,-1.30153985,1.24233721571342,1.14845079657,-3.66961956,0.3424409535,1.00005594516452,8964.64733310024,8649.5636427254
"mu[71]",5.388181541225,5.1951934,1.72951286042744,1.68603466248,2.93147748,8.523060095,1.00040685332668,3548.05608290305,5124.04998093736
"mu[72]",3.91385894105062,3.7861961,1.29971761174435,1.25656591746,2.04244192,6.297178925,1.00039473769646,4262.91407918141,6039.48257950571
"mu[73]",-1.74394153511375,-1.69520095,0.547953157579489,0.54521310312,-2.717313345,-0.9312050995,1.00039793833625,3697.66654532178,5761.19710616755
"mu[74]",3.65889398749975,3.54794375,1.25794297290559,1.23564101997,1.81701757,5.89013757,1.00034181998226,5036.35432806466,7408.9774192844
"mu[75]",-0.455137803079916,-0.37893917,1.03530679296631,0.949400723439,-2.25829105,1.099900345,0.999973581905235,10687.986870363,9168.05319120588
"mu[76]",-1.21858809154643,-1.15665445,0.744630919482132,0.692729149266,-2.5393433,-0.110539175,0.999856487983437,8366.52845870547,8459.10294335769
"mu[77]",-0.497984776945851,-0.433368525,0.775958669083457,0.7171652453406,-1.86419576,0.6563368695,1.00028849136105,9183.96111580557,7486.91761125518
"mu[78]",-1.47503506310469,-1.4148726,0.814849216618693,0.781230102261,-2.8985754,-0.274037889,0.999977963348519,7027.18864486686,7680.93909489038
"mu[79]",3.28265635538938,3.14920775,1.36357834129471,1.29895063452,1.30878826,5.71766502,1.00027286521847,6747.63640482396,9530.58179430677
"mu[80]",2.1451441245475,2.0353883,0.832400725679541,0.77978955621,1.00334072,3.694478405,1.00037498171761,4499.27714497659,6970.67035190645
"mu[81]",4.6261285212875,4.48202005,1.43582896898143,1.41634460751,2.55931413,7.224722265,1.00038494690541,3417.08926633262,4954.25355775841
"mu[82]",-1.23379438378013,-1.16441585,0.749003727476584,0.711935639226,-2.54872524,-0.146773546500001,1.00026958319259,9480.19527365595,9526.91744584056
"mu[83]",-0.411488502357358,-0.39643705,0.664970876692788,0.6163837230663,-1.510679545,0.65370158,1.00032572686672,12113.0695040927,8945.67329708653
"mu[84]",2.59292661037875,2.45085395,1.02815050192659,0.96109708086,1.18905835,4.50711725,1.00036581335462,4634.58461255875,7164.54261559378
"mu[85]",2.9816644254589,2.8720216,1.06227226250989,1.03115082042,1.43356861,4.905627185,1.0002484980653,5175.16419189449,7924.03995003605
"mu[86]",2.28386759090812,2.1581727,0.901080535933205,0.85049727063,1.04455549,3.95639747,1.00039089435656,4699.06875255018,7106.38505084745
"mu[87]",-6.56265699070625,-6.33927665,2.06304694119481,1.9937582259,-10.23686485,-3.596936495,1.00042985018252,3431.22676309686,4598.91360917529
"mu[88]",6.53298590391875,6.3116936,2.07505791682953,2.03711604747,3.554364995,10.2976482,1.00040462920404,3538.61921768226,5060.7106790608
"mu[89]",-0.549401890198936,-0.52703254,0.438149672396837,0.40509643188,-1.30610873,0.122376493,0.999867975155214,9512.46484606034,8465.96479582405
"mu[90]",-5.16180595828125,-4.94371545,1.7669127535058,1.69335107109,-8.349297,-2.65749291,1.00044558713498,3824.57740071529,5549.36158025069
"mu[91]",6.08865308384375,5.91036055,1.94752799484306,1.94644979424,3.240260435,9.554939025,1.00040365165442,3794.15758865701,6103.66465358842
"mu[92]",1.56384968818812,1.4873745,0.590757977060685,0.55792098663,0.7510768335,2.652982375,1.00035105127853,4388.41265555341,7082.50172017949
"mu[93]",-0.0124740823544813,0.00541329225,0.985875221603825,0.906413611173,-1.642149825,1.585977935,1.00005106087826,11563.8059714303,9619.09816559175
"mu[94]",-2.59138042607651,-2.38675755,1.48657788020743,1.38127459407,-5.30498436,-0.55563728,1.00017586257084,6783.69052389572,7189.13048301184
"mu[95]",-1.95143214992,-1.8873181,0.660457923843095,0.64379851599,-3.134397405,-0.993861094,1.00019614822009,3915.42694310922,6261.80338312978
"mu[96]",-0.0412837337858539,-0.0696549865,0.764464366987945,0.6978514307079,-1.238173035,1.245520065,1.00013685830254,10632.6205291326,7982.07125882557
"mu[97]",-3.72683400213156,-3.5260051,1.56586129525908,1.49019106026,-6.576270855,-1.544652435,1.00037396284034,4564.09900257673,6501.72039007729
"mu[98]",-2.10812517906114,-1.96808005,1.08368854357302,1.01560160814,-4.08421891,-0.604532908,1.00026850473007,7324.74675722955,8773.4659566166
"mu[99]",-1.30888569632966,-1.25424715,0.74583268054501,0.710293281663,-2.61614735,-0.208651188500001,0.999960847562994,7230.72808912223,7804.95352572908
"mu[100]",-0.680901545175245,-0.63068335,0.595973658100245,0.546771953238,-1.73341111,0.1952588485,1.00018130711039,11900.6675561889,9358.54503741226
"mu[101]",-3.09022160093112,-2.86846135,1.57165709397134,1.47361499922,-5.959678375,-0.940712439,1.00022929524839,5964.46033849084,7100.31912332635
"mu[102]",2.04425388248883,1.96287195,0.877477518539791,0.83612005365,0.7523435755,3.58627593,1.00025987811112,7254.83416795239,9222.55659725956
"mu[103]",-1.50793536078776,-1.4312981,0.720629906309356,0.683223726234,-2.803095285,-0.474879366,0.999952797171934,6399.16432942371,7956.07350140868
"mu[104]",-5.98849804978437,-5.654848,2.34522215195784,2.22625118121,-10.2574188,-2.73138187,1.000324898587,4350.64436061775,6578.13952565571
"mu[105]",-6.79897520859375,-6.531851,2.31654664554491,2.23798351392,-10.97274325,-3.514598815,1.00038424286567,3818.20629333608,5830.82693796789
"mu[106]",1.25501089856864,1.2026651,0.500724332172513,0.483958572321,0.5361754665,2.157015815,1.00029262108145,5735.19650840477,8794.56686462491
"mu[107]",3.60096316516125,3.5052165,1.07516195884453,1.06753293486,2.01327823,5.513283345,1.00047059022617,3343.10287989292,4756.46697135689
"mu[108]",-3.68615421742063,-3.5854242,1.13266893696725,1.12363570494,-5.714024755,-2.036726625,1.00032052499351,3373.33790282407,4971.20920038225
"mu[109]",3.274785066505,3.1642038,1.07654130959958,1.0453501254,1.711899665,5.193246905,1.00038001120363,3917.52539112095,5546.28732140718
"mu[110]",-1.05322487752042,-0.990547705,0.610657707820463,0.568211246211,-2.14748783,-0.1761625395,1.0001638919491,8136.53590245354,8139.68886497938
"mu[111]",2.02926502905063,1.87244045,1.24000789572953,1.13899899918,0.286443064,4.29778587,1.00012129634333,9476.68162893626,8880.24617119688
"mu[112]",4.00012426002562,3.8550709,1.37281034597012,1.32153634053,2.033621415,6.5083804,1.00040797045222,4378.66257190701,6377.03128918863
"mu[113]",7.70953378958125,7.38508235,2.68975750729907,2.5997843193,3.905039755,12.5834244,1.00032417336196,4377.94777145229,6693.3125631052
"mu[114]",-0.641392520110161,-0.614394105,0.483630264098351,0.450329868471,-1.46888601,0.102104470999999,1.0000451449326,8860.27892722247,8821.36320718112
"mu[115]",-4.82751614126875,-4.66296905,1.55475701465771,1.50686045097,-7.626516165,-2.588932015,1.00047200513258,3616.10826598726,4819.53800455699
"mu[116]",4.48710201605625,4.32195555,1.47094967116856,1.44608459982,2.37291892,7.15795057,1.00036799605541,3728.62062474758,5664.06894968616
"mu[117]",-2.87058851092541,-2.7158092,1.35394921603782,1.29500684439,-5.309181755,-0.966861229500001,1.00019251235926,5101.67933931283,6679.00431974469
"mu[118]",0.199268056633636,0.18399595,0.447489437943014,0.4031469411249,-0.516118862,0.948871227,1.00008399048385,12499.8153738849,8865.82211907009
"mu[119]",-1.24441147125075,-1.18193785,0.789866365538216,0.748484864925,-2.61760541,-0.0756862693000001,1.00031228932197,9651.23642637923,9489.11832020726
"mu[120]",1.8391015368775,1.7706642,0.604739079071814,0.58466605281,0.977629674,2.938251395,1.00047539577065,3669.30351145141,5509.99982704692
"mu[121]",-1.95081884373719,-1.85845115,0.782661898729719,0.74670600438,-3.37144909,-0.849021566,1.00016451174365,4953.90749786837,6910.90579454492
"mu[122]",-0.384456931824133,-0.310944785,0.941235817136987,0.843352495209,-2.03793058,1.01922675,1.00028256100603,12123.9942683778,8099.17644714864
"mu[123]",0.0207023095989196,0.00433387135,0.395296820357043,0.35559733069749,-0.598618865,0.686423647999999,1.00024610257618,13977.3782646039,10424.4436950594
"mu[124]",4.70192441846125,4.51536015,1.63664202827277,1.57781768697,2.375691825,7.702056035,1.00042159236567,4341.26843527424,6472.38126083757
"mu[125]",1.55096191375211,1.44397315,0.930971162678246,0.867102457347,0.243536026,3.22782293,1.00008415639769,10162.0792683555,9270.55948769011
"mu[126]",-0.574891077956776,-0.52460174,0.576207832443495,0.519105599418,-1.59880459,0.2825189345,1.00036524774386,11934.7421906637,8693.18287057286
"mu[127]",-0.295892508909043,-0.23892376,0.86537832097454,0.790774354587,-1.78956368,1.012554335,1.00042907728017,11985.7870195805,8357.1988704718
"mu[128]",-1.49113377433225,-1.4396358,0.577924693915,0.57444700992,-2.51387584,-0.6415744275,1.00017232005061,5170.82544483131,7928.0252517153
"mu[129]",2.96520853180486,2.81601905,1.24672275441879,1.1815943937,1.187685025,5.23276953,1.00035484666763,5779.31251234516,7825.57924038475
"mu[130]",0.0173285228486626,0.0958122735,1.44662907538107,1.295202310374,-2.476685945,2.24870797,1.00010134378985,11894.5645196063,8331.59455764655
"mu[131]",2.44860179165389,2.3524662,0.973826617593962,0.92925320502,1.03346284,4.173985125,1.00033426600618,6255.21340663788,9394.74264929609
"mu[132]",-7.14001965226813,-6.7810693,2.68315256722573,2.56401822516,-12.0149131,-3.400621475,1.00029055609076,4154.39384521231,6275.60835359764
"mu[133]",4.07396074052638,3.925849,1.57048641525164,1.49890400394,1.79631996,6.882567435,1.00030109457963,5868.60338819275,8499.94173383238
"mu[134]",3.41882982297937,3.301546,1.17334751028185,1.13603906241,1.717418155,5.562021665,1.00036285325538,4564.4499468054,6837.152597965
"mu[135]",5.59067862515625,5.38857965,1.84631764080299,1.82775454323,2.92441797,8.947733095,1.00030088584731,3894.671401556,5992.31056644157
"mu[136]",2.757572497462,2.59866315,1.14129652460446,1.07348824254,1.192786645,4.8929841,1.0003721211551,5040.97897849503,7689.71952586656
"mu[137]",1.24374034790201,1.13136245,0.885671546011318,0.805886081259,0.01760919275,2.84668782,1.00032331759953,8329.73312059841,6908.24417606857
"mu[138]",0.420958580725875,0.39796796,0.168777828455101,0.157453921359,0.189742852,0.7332890105,1.00041501686258,4721.51452700939,7012.19811537381
"mu[139]",5.57231670248125,5.3153009,1.98364432346457,1.91119319559,2.806492905,9.19664512,1.0002904522248,4128.82028013707,6222.34703910861
"mu[140]",-3.78050105818938,-3.6456918,1.23196786155786,1.18967775129,-6.009314435,-2.012387605,1.00046830965726,3675.16559472498,5095.74603462976
"mu[141]",2.90323567891466,2.7162101,1.47268086445782,1.38163012155,0.8391721405,5.60180975,1.0001840063868,7562.8423425115,8565.98829427455
"mu[142]",3.48663969525375,3.35468535,1.14741894131313,1.11714110151,1.84793058,5.57008384,1.00041669582734,3763.74161204155,5591.74018343285
"mu[143]",4.40320886842289,4.200427,1.6974484776533,1.62731325015,1.96859248,7.470297485,1.00021130868279,5145.28991185323,7871.05435529991
"mu[144]",-1.73827036598444,-1.66782405,1.10254599730357,1.030416829638,-3.66604341,-0.0929598560000011,0.999904629098577,8134.35968158344,7933.85575997412
"mu[145]",-0.162575608310457,-0.169839115,0.505835804710396,0.462236858874,-0.9752357575,0.668607850499999,1.00010444712622,10543.9679583681,8140.80396491422
"mu[146]",3.70374372896375,3.60565715,1.1036267923415,1.08803929437,2.082341095,5.661915,1.00043863748447,3284.22972778792,4519.67867061743
"mu[147]",2.86115870330075,2.75525495,1.03984826246873,1.00981531686,1.342108395,4.73251433,1.00023858022142,5365.71970435109,8238.49032107701
"mu[148]",-0.647743106274117,-0.581095715,0.596896125247496,0.547315807983,-1.721910855,0.2046794505,1.00041544324711,9630.97418962751,7591.41814506009
"mu[149]",3.20544329698687,3.08034055,1.13155482085195,1.09279265823,1.57563579,5.248898805,1.00043404723691,4752.89725666977,6949.23282889832
"mu[150]",1.32044910283119,1.25932935,0.498721493838796,0.478067787393,0.622860698,2.227793805,1.00041625926167,4538.51640050904,7128.30054906734
"mu[151]",-1.66795235403375,-1.5824464,0.63024160655349,0.5940422376,-2.837666965,-0.7880535845,1.00043682753882,4342.58959080021,6674.95570429636
"mu[152]",0.186770644212606,0.184581605,1.01631473493794,0.907892193327,-1.482253995,1.85846272,1.00002531525255,12203.1587181288,9126.2811440193
"mu[153]",0.138425815145819,0.129805695,0.274245889789547,0.249213073179,-0.298887034,0.5960098195,1.00033717295526,15764.5605537157,10198.8268484162
"mu[154]",5.3775644538,5.1723918,1.77094464865695,1.72354607334,2.884977695,8.609040045,1.00040248488722,3653.33513985995,5236.17585190416
"mu[155]",2.44190800903408,2.364541,0.932353613750724,0.90285632745,1.0597174,4.09611691,1.00020753109138,6220.47629642633,9636.45791107875
"mu[156]",-0.985518253360094,-0.95200646,0.911740095430176,0.846422811549,-2.51927342,0.432064803,1.00001326857524,9431.20372504957,9372.86305323952
