"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-182.641297953125,-182.261385,2.56128965628,2.44784673000002,-187.309628,-179.1594335,1.00100410401613,3345.42842068086,6760.18953213688
"beta1",0.394829241597275,0.38639027,0.714751205256609,0.6538025811387,-0.776991036,1.57660756,1.00082668706319,10169.6968711864,8113.18362164635
"beta2",-0.291065524888656,-0.295363665,0.55878826705213,0.5098470945204,-1.188605875,0.6165873785,1.0005620463245,10369.1180908323,9198.30490475681
"beta3",-3.1895707952775,-3.11079405,0.994307724326498,0.98616391797,-4.95825083,-1.699174655,1.00111804100837,3361.06209249485,3856.03720935414
"beta4",-1.14854524422576,-1.08232575,0.512546440890786,0.481836652962,-2.08205311,-0.428107279,1.00049362653379,5472.29450164921,8342.65877182502
"beta34",-0.344308258645089,-0.323571,0.430792493687496,0.39093908448,-1.08352399,0.3260296415,1.00041734488936,10381.2703676958,8908.58033583936
"k0",1.14519877951324,1.10884615,0.492490380705119,0.48853730814,0.4081858525,1.9936383,1.00068170715894,6808.53137865285,9406.69034183309
"delta",5.38081784585625,5.174127,1.79496359568922,1.71166407216,2.821846115,8.64281326,1.00089586897314,3019.29940981473,3264.21327895451
"sigma",4.42536893494375,4.2826855,1.41048747985929,1.35413011545,2.383923945,6.989588915,1.00079200647152,2857.94400279792,3065.38053630724
"beta0",0,0,0,0,0,0,NA,NA,NA
"mu[1]",1.41258919128406,1.3472564,0.528084753900087,0.50408570499,0.67146267,2.361281865,1.00073272067647,4088.38341764523,5467.94091669451
"mu[2]",-4.58077439471563,-4.41766805,1.53737859832495,1.5030546909,-7.40582198,-2.368464975,1.0009547056771,3329.45399935084,3890.17762419243
"mu[3]",2.25497485231812,2.1861538,0.80227244787083,0.77843853696,1.076758355,3.71273314,1.0009203103407,4158.28231294094,6565.39764604865
"mu[4]",3.43864043961212,3.29726335,1.4122059803701,1.37015672493,1.38292632,5.97954568,1.00028816019963,6495.12561572041,9569.4180084405
"mu[5]",-4.42056835851625,-4.2388296,1.52989263899282,1.47092941758,-7.216875915,-2.24595754,1.00108085186373,3466.70099588741,3873.16684291185
"mu[6]",3.64316629813144,3.48091275,1.48106691393592,1.4194197423,1.52764638,6.35243912,1.0005347900363,5186.62068245757,8560.0244110498
"mu[7]",3.20571467522631,3.09362835,1.13810452177267,1.11494314701,1.536371195,5.23998516,1.00127980912848,4319.23267688865,5695.09385813632
"mu[8]",1.85627518095495,1.75313905,1.03025347129015,0.97857708312,0.3508036605,3.693397765,1.00119246861411,6499.66632021659,8314.69031296849
"mu[9]",-2.79276328908674,-2.52743195,1.77102262078534,1.59620066676,-6.08042351,-0.4247328495,1.00064206170822,6590.21500687587,8090.98662571726
"mu[10]",0.687853785494124,0.60736088,0.889372863464224,0.8053252203507,-0.629484278,2.27351981,1.00022924852311,12812.6116947143,8952.86166761295
"mu[11]",-3.69983291482769,-3.46983585,1.62639247185152,1.5459507567,-6.69732263,-1.454091445,1.00073652857465,4663.54072791557,7515.28260512512
"mu[12]",-1.01611110720804,-0.97556738,0.521448086464887,0.501340900893,-1.921875815,-0.24561437,1.0007385249178,7212.09092274683,8601.09522101863
"mu[13]",0.689012695765575,0.64704846,0.456182767193805,0.417984503181,0.02278512925,1.50228896,1.00034190286007,8666.10719779055,8939.34443563034
"mu[14]",3.60394385968969,3.47721795,1.28746746696089,1.25098333542,1.728648215,5.91719211,1.00134137408884,4095.40255081806,5384.25764614703
"mu[15]",-6.62644258056813,-6.40911755,2.27592476851219,2.22335232756,-10.7722512,-3.341347,1.00076265114924,3587.90941049289,4064.29131634854
"mu[16]",1.42560987643829,1.31251395,0.794732980356357,0.73865274357,0.3429240165,2.877011865,1.00070564912161,5929.37414690775,7674.77527139377
"mu[17]",0.363262135607634,0.35130971,0.531866344769085,0.4791349539774,-0.478442153,1.260570515,1.00034359493745,11014.7216223409,9305.41081622886
