"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-130.302047504,-129.952125,1.74346559778448,1.595907705,-133.6149625,-128.1158485,0.999995721037907,4014.00011415701,5753.70023270708
"beta_0",1.37359447140831,1.38217605,1.9814128918053,1.9713963198426,-1.867476955,4.617477035,1.00093481643039,4671.06254082077,5136.35486449014
"beta_1",0.636391902244839,0.63455346,0.32829100038064,0.330813568407,0.1028843595,1.182588025,1.0002458847768,6114.40877359038,5174.58378867446
"beta_2",0.0144233381310354,0.0140244455,0.0163887719838154,0.01621470701613,-0.01224937785,0.0420130393,1.00027391947488,5109.41348391098,5420.89139448
"beta_3",-2.39426524117633,-2.37450055,2.28417491165198,2.24734398315,-6.108155665,1.375524295,1.00062612570177,4364.82714418718,5052.9897332723
"beta_4",3.2911693785152,3.28116315,1.02235087577295,1.01844034236,1.62690912,4.988054465,1.00031528049023,3802.22423465062,4736.38135440688
"beta_34",-4.9263031948471,-4.92996215,1.3879566423199,1.38292176267,-7.23621084,-2.66521064,1.0002283504629,3802.92966890056,4881.80603976089
"eta[1]",-0.0761653716295404,-0.0741820875,0.212647450171881,0.2139575753595,-0.4288407615,0.2746228435,1.00046560689336,8685.70914947637,7998.56472771702
"eta[2]",-2.56902161398,-2.55682305,0.418543975041303,0.41634825393,-3.286219015,-1.89643262,1.00006769892613,8753.85215818086,6544.41919076184
"eta[3]",-0.0552547694113838,-0.055124232,0.294496236282277,0.2921981364918,-0.531530901,0.435270673,1.00022335840909,5849.5279460998,6693.30523000075
"eta[4]",0.912397030715287,0.913567535,0.438032097758246,0.436254034419,0.2000033105,1.622640205,0.999938281455155,6256.21668051571,7432.16225202372
"eta[5]",-2.20509939109,-2.19203635,0.409659626932208,0.40712018088,-2.892026615,-1.54273143,1.0003021654883,8887.39287087893,6816.60646879599
"eta[6]",0.647226307525505,0.64281832,0.456755438060885,0.449813486304,-0.105675598,1.408967,1.00008979797757,5919.47167342343,7041.45635537844
"eta[7]",0.882998126287046,0.876229145,0.309031123095884,0.303797497773,0.382974729,1.397543575,1.00020898261978,8111.96406049944,7232.73205058278
"eta[8]",0.724600722312747,0.718831885,0.341276774658458,0.338360669577,0.173190447,1.29521302,1.00014696283486,6766.86446336305,6975.15820585297
"eta[9]",-1.5157864370359,-1.5057747,0.545947668904,0.54013905288,-2.450058795,-0.6440192095,1.00016970817461,7909.8953915294,7265.4720130584
"eta[10]",-0.210315111203043,-0.208046335,0.363788153501408,0.356382369399,-0.811096604,0.392352916,1.00007903229237,9362.92514448985,8691.3356393668
"eta[11]",-2.69347665991,-2.68053615,0.51733386714211,0.50765832621,-3.5719857,-1.86689604,0.999981832219174,8277.8350976095,8177.26172893388
"eta[12]",-0.7365090843044,-0.734462605,0.233106245590874,0.239230897878,-1.12618678,-0.3659040005,1.0001364048122,6954.38927710053,7619.59734025976
"eta[13]",-0.319738265149335,-0.31700556,0.23248445963748,0.2310239211,-0.706605517,0.0594843081,1.00050385905273,7773.34704018923,8116.30809837444
"eta[14]",1.0797599996229,1.07045885,0.335635840330066,0.33354519219,0.5422176435,1.638364075,1.00011364947431,7620.45258632839,6624.19041307067
"eta[15]",-3.49514562105,-3.48007155,0.550304580387941,0.54612586581,-4.441259945,-2.61998574,1.00017861238729,7445.07642864025,7236.94167348356
"eta[16]",0.158149044099167,0.161035615,0.269934357967851,0.2708384146608,-0.288191617,0.599403768,1.00030167441262,7933.50659897048,7875.46627999065
"eta[17]",-0.463159719130303,-0.45916249,0.263230649241447,0.261260910582,-0.90952356,-0.0381330140500001,1.00042448776158,7129.88244155004,7207.31862551598
"eta[18]",1.6363463822273,1.62239455,0.457615252464537,0.45117059904,0.8965214665,2.41244211,1.00020733327955,7474.62528589646,7315.353825774
"eta[19]",1.38649697117009,1.3872412,0.384371822492816,0.38295380088,0.7569981325,2.01637145,1.00019995931516,8109.52138816354,6809.75625535488
"eta[20]",-0.550977309127535,-0.547428175,0.239004490880524,0.237623551914,-0.9467354445,-0.1602868635,1.00008034724445,9118.89418542512,8338.33676680754
